gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
MAF1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.35713	0	0.165	4.36726	0.214	0.049	0.53973	mid_pfc	mid	pfc
TOMM40	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.33835	0	0.096	6.99956	0.112	0.016	0.33407	mid_pfc	mid	pfc
FGFBP3	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.29527	0	0.096	6.05231	0.115	0.019	0.37924	mid_pfc	mid	pfc
C20orf24	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.25908	0	0.128	4.99984	0.16	0.032	0.45183	mid_pfc	mid	pfc
RPRM	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.19475	0	0.147	4.67488	0.187	0.04	0.46948	mid_pfc	mid	pfc
PRELID1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.1244	0	0.232	2.77097	0.363	0.131	0.76666	mid_pfc	mid	pfc
C17orf89	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.06386	0	0.13	4.51339	0.167	0.037	0.45727	mid_pfc	mid	pfc
HPCAL1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.0564	0	0.141	4.43892	0.182	0.041	0.46327	mid_pfc	mid	pfc
STK17A	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.94679	0	0.11	4.43736	0.142	0.032	0.43873	mid_pfc	mid	pfc
HNRNPAB	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.86301	0	0.235	2.66665	0.376	0.141	0.69863	mid_pfc	mid	pfc
CHGA	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.82627	0	0.115	4.38222	0.149	0.034	0.41674	mid_pfc	mid	pfc
SRSF9	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.79424	0	0.157	3.45307	0.221	0.064	0.51961	mid_pfc	mid	pfc
RAC3	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.76714	0	0.186	3.21425	0.27	0.084	0.54978	mid_pfc	mid	pfc
EPHB6	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.71549	0	0.239	2.13269	0.45	0.211	0.80438	mid_pfc	mid	pfc
KLHDC2	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	1.65159	0	0.188	2.62067	0.304	0.116	0.63022	mid_pfc	mid	pfc
